0xA18B	DSP Flash CRC-Test Fehler
0xA18C	V1.8 DSP Spannung ausserhalb der Toleranzgrenzen
0xA18D	Coding data CRC Fehler
0xA191	I2C-Treiber Fehler
0xA192	DSP Self-Test fehlgeschlagen
0xA193	Minidisc TABII-Interface antwortet nicht
0xA194	ST10 RAM Self-Test fehlgeschlagen
0xA195	ST10 Flash CRC check DAF fehlgeschlagen
0xA196	ST10 Flash CRC check PAF fehlgeschlagen
0xA197	ST10 Self-Test DSP Kommunikation fehlgeschlagen
0xA198	ST10 Self-Test Minidisc TABII Kommunikation fehlgeschlagen
0xA199	ST10 Watchdog timeout
0xA19A	DSP hat Audio Synchronation verloren (obsolete)
0xA19B	DSP watchdog timeout
0xA19C	Mikrophon nicht verbunden oder Kurzschluss
0xA19D	AUX nicht verbunden
0xA1A1	ungueltiges ACK von DSP empfangen (obsolete)
0xA1A2	DSP Reset nach 3 Kommunikation Wiederholungen
0xA1A3	CODEC Reinitializion wegens DSP Initializion nicht innerhalb 10 Sekunden 
0xA1A4	DSP boot Timeout
0xA1A5	DSP oder CODEC konnte nicht initialisiert werden innerhalb 30 Sekunden
0xA1A6	Unerwarteter DSP reset
0xA1A7	Bootloader defekt
