0xD904	K_CAN_Leitungsfehler
0xD905	K_CAN_HIGH
0xD906	GroundShift
0xD907	Bus_Off
0xD90C	CAN_ENG_FEHLER
0xD90D	CAN_FEHLER_2LEITUNGEN
0xD93C	Fehlerwert_erhalten
0xD93D	Unplausibles_Signal
0xD93E	Telegramm_Timeout_beim_Emfang
0xD93F	Fehler_beim_Emfang_NM_Botschaft
0xD940	Fehlerwert_gesendet
0xD941	Unplausibles_Signal1
0xD942	Telegramm_Timeout_beim_Senden
0xE904	K_CAN_LOW_PER
0xE905	K_CAN_HIGH_PER
0xE906	GroundShift_PER
0xE93C	Fehlerwert_erhalten_PER
0xE93D	Unplausibles_Signal_PER
0xE93E	Telegramm_Timeout_beim_Emfang_PER
0xE93F	Fehler_beim_Emfang_NM_Botschaft_PER
0xE940	Fehlerwert_gesendet_PER
0xE941	Unplausibles_Signal1_PER
0xE942	Telegramm_Timeout_beim_Senden_PER
0xE943	Fehler_beim_Senden_NM_Botschaft_PER
0xA0A8	BSW_RAM_CRC_FEHLER
0xA0A9	BSW_SYSTEM_FEHLER
0xA0AA	BSW_REGISTER_FEHLER
0xA0AB	BSW_ProgFlash_CRC_FEHLER
0xA0AC	BSW_SG_FEHLER_COP_CM_TRAP
0xA0AD	EEPROM_Schreibe_Fehler
0xA0AE	Energiesparmode aktiv
0xA0AF	FEHLER_EXTERNAL_WATCHDOG
0xA0B0	SG_Eingang_Bremslicht
0xA0B1	SG_Eingang_P_N
0xA0B2	Fehler_CAS_Versorgung
0xA0B3	Fehler_Ansteurung_Anlasser_KL50
0xA0B4	Fehler_Motorstart_Anlasserbetrieb
0xA0B5	Signalerkennung_Geschwindigkeit_Fehler
0xA0B6	Interlock_PLOCK_Fehler
0xA0B8	Hallsensor_RAST_KS
0xA0B9	Hallsensor_EJECT_KS
0xA0BA	Hallsensor_SSTA_KS
0xA0BB	Hallsensor_SSTB_KS
0xA0BC	Hubmagnet_AZSP
0xA0BD	Treiber_KL15_WUP_KS
0xA0BE	Treiber_KL15_1_FZG_KS
0xA0BF	Treiber_KL15_2_FZG_KS
0xA0C0	Treiber_KL15_3_FZG_KS
0xA0C1	Treiber_KL50L_KS
0xA0C2	Treiber_KL50RS_KS
0xA0C3	Treiber_KL15_WUP_RS_KS
0xA0C4	Treiber_KL15_4_FZG_KS
0xA0C5	MFS_Signal_fehlt
0xA0C6	Treiber_KLR_KS
0xA0C7	Treiber_KLR_MRS_KS
0xA0C8	Komfort_Schliesszylinder_FAT
0xA0CC	Komfort_FBD
0xA0CF	Komfort_Tueraussengriff
0xA0E0	Centerlock_Taster_Verriegeln
0xA0E1	Centerlock_Taster_Entriegeln
0xA0E2	DUMMY_1
0xA0E3	DUMMY_2
0xA0E4	DUMMY_3
0xA0E5	DUMMY_4
0xA0E6	DUMMY_5
0xA0E7	DUMMY_6
0xA0E8	DUMMY_7
0xA0E9	DUMMY_8
0xA0EA	DUMMY_9
0xA0EB	DUMMY_A
0xA0EC	DUMMY_B
0xA0ED	DUMMY_C
0xA0EE	DUMMY_D
0xA0EF	DUMMY_E
0xA0F0	Fehler_Basestation_Antenne
0xA0F1	Fehler_TRSP_Page3
0xA0F2	Fehler_Typ_Nachschluessel
0xA0F3	Fehler_TRSP_Cryptodaten
0xA0F4	Fehler_TRSP_Authentisierung
0xA0F5	DUMMY_G
0xA0F6	DUMMY_H
0xA0F7	DUMMY_I
0xA0F8	DUMMY_J
0xA0F9	DUMMY_K
0xA0FA	DUMMY_L
0xA0FB	DUMMY_M
0xA0FC	DUMMY_N
0xA0FD	DUMMY_O
0xA0FE	DUMMY_P
0xA0FF	DUMMY_Q
0xA100	DME_Lost
0xA101	EWS4_EEPROM_CRC_FEHLER
0xA102	EWS4_Manipulationsschutz
0xA103	EWS4_CAS_Bus_Fehler
0xA104	EWS4_FSC_SecretKey_Speicher_Fehler
0xA105	EWS4_FSC_FEHLER
0xA106	EWS4_Random_FEHLER
0xA107	EWS4_CAN_Frame_Fehler
0xA108	EWS4_CAN_Telegrammsyntax_Fehler
0xA109	EWS4_Telegrammtyp_Fehler
0xA10A	EWS4_Timing_Chall_Resp_Fehler
0xA10B	EWS4_CalcTo_FEHLER
0xA10C	EWS4_ZUSTAND_FEHLER
0xA110	ELV_SW_CAS_Fehler_1
0xA111	ELV_HW_CAS_Fehler_1
0xA112	ELV_SG_HW_Lenkschloss_Fehler
0xA113	ELV_SG_Sensor_Fehler
0xA114	ELV_SG_Kommunikations_Fehler
0xA115	ELV_SG_Ablauf_Fehler_1
0xA116	ELV_SG_Abbruch_Fehler
0xA117	ASW_SW_CAS_Fehler_2
0xA118	ASW_Signalerkennung_Geschwindigkeit_Fehler
0xA119	ELV_HW_CAS_Fehler_3
0xA11A	ELV_Hsd_Fehler
0xA11B	ELV_Lsd_Fehler
0xA11C	FLAG_NOT_ALLOWED
0xA11D	ASW_KL30_Fehler
0xA11E	ELV_P_Sternpunkt_Fehler
0xA11F	ELV_M_Sternpunkt_Fehler
0xA120	KL30g_Kurzschluss
0xA121	Treiber_LED_KS
0xA122	Treiber_VCC12_KS
0xA123	Treiber_VCC34_KS
0xA124	Fehler_Klemmenstate
0xA125	Fehler_MSA_Request
0xA126	Unplausibilitaet_ACK_KL15_Off
0xA127	Fehler_ACK_KL15_Off_vor_Request
0xA128	KL15_Automatisches_Abschaltung_wegen_OSFG
