0xA168	EEPROM antwortet nicht
0xA169	OLIC antwortet nicht
0xA16A	TDA7563 antwortet nicht
0xA16B	Fehler im Power Source Supply
0xA16C	Fehler Externe Beleuchtung
0xA16D	Temperatur (MOST-FOT,PWB) ausserhalb zulaessigem Bereich
0xA16E	Lautsprecher nicht OK
0xA16F	Fehler im K-CAN Test
0xA170	RAD_ON Signal (fuer ext.Ampl.) ohne Funktion
0xA171	Checksum Fehler Eeprom
0xA172	Checksum Fehler ext.Flash
0xA174	Coding data CRC Fehler
0xA177	Externer Fan arbeitet nicht
0xA178	Temperatur Sensor Fehler
0xA179	Ueber-/Unterspannung interne Spannung
0xA17A	I2C-Amplifier Output
0xA17B	Ueberspannung externe Versorgung (Batterie)
0xA17C	Fehler 0xA17C
0xA17D	Fehler 0xA17D
0xA17E	Fehler 0xA17E
0xA17F	Fehler 0xA17F
0xA180	Fehler 0xA180
0xA181	Fehler 0xA181
0xA182	Fehler 0xA182
0xA183	Fehler 0xA183
0xA184	Fehler 0xA184
0xA185	Fehler 0xA185
0xA186	Fehler 0xA186
0xA187	Energiesparmode aktiv
0xE184	K-CAN Leitungsfehler
0xE187	K-CAN Kommunikationsfehler
0xE18C	Device hat die Monitoringnachricht nicht abgenommen oder bestaetigt. (Error_Monitoring).
0xE18D	Weckendes Device hat 3 mal erfolglos versucht das Netzwerk zu wecken. (Error_WakeUp_Failed).
0xE18E	Obwohl Shutdown(Execute) geschickt wurde ging das Licht nicht aus. (Error_Light_Not_Off).
0xE18F	Zentrale Registry stimmt nicht mit der Sollkonfiguration ueberein (Error_Registry_New).
0xE190	Ringbruchdiagnose wurde durchgefuehrt (Error_Ring_Diagnose).
0xE191	Lange und/oder haeufige Unlocks (Error_Unlock_Long).
0xE192	Ein Device hat sich wegen Uebertemperatur abgeschaltet (Error_Temp_Shutdown).
