0x3E90	3E90 Kurbelwellengeber, Signal
0x3E91	3E91 Kurbelwellengeber, Signal
0x3EB0	3EB0 Drehzahlberechnung
0x3EC0	3EC0 Nockenwellengeber, Signal
0x3EC1	3EC1 Nockenwellengeber, Signal
0x3EC7	3EC7 Ueberwachung Master/Slave
0x3EDC	3EDC Variantencodierung
0x3EDD	3EDD Variantencodierung
0x3EE0	3EE0 Kuehlmitteltemperatursensor, Signal
0x3EE1	3EE1 Kuehlmitteltemperatursensor, Signal
0x3EE2	3EE2 Kuehlmitteltemperatursensor, Signal
0x3EE3	3EE3 Kuehlmitteltemperatursensor, Signal
0x3EEA	3EEA Powermanagement Ruhestrom (Layer_PMRUHVERL)
0x3EEB	3EEB Powermanagement Ruhestrom (Layer_PMRUHVERL)
0x3EEC	3EEC Powermanagement Ruhestrom (Layer_PMRUHVERL)
0x3EED	3EED Powermanagement Ruhestrom (Layer_PMRUHVERL)
0x3EF3	3EF3 Kuehlmitteltemperatursensor, Plausibilitaet
0x3EFA	3EFA Thermischer Oelniveausensor (Layer_TOENS)
0x3EFB	3EFB Thermischer Oelniveausensor (Layer_TOENS)
0x3EFC	3EFC Thermischer Oelniveausensor (Layer_TOENS)
0x3EFD	3EFD Thermischer Oelniveausensor (Layer_TOENS)
0x3F00	3F00 Ladedruckfuehler, Signal
0x3F01	3F01 Ladedruckfuehler, Signal
0x3F02	3F02 Ladedruckfuehler, Signal
0x3F03	3F03 Ladedruckfuehler, Signal
0x3F05	3F05 MIL OFF
0x3F0A	3F0A CAN Bus C
0x3F0B	3F0B CAN Bus C
0x3F0C	3F0C CAN Bus C
0x3F0D	3F0D CAN Bus C
0x3F10	3F10 Fahrpedalmodul Potentiometer 1, Signal
0x3F11	3F11 Fahrpedalmodul Potentiometer 1, Signal
0x3F13	3F13 Fahrpedalmodul Potentiometer 1, Signal
0x3F15	3F15 MIL On
0x3F1A	3F1A Layer_MANHYDR
0x3F1B	3F1B Layer_MANHYDR
0x3F1C	3F1C Layer_MANHYDR
0x3F1D	3F1D Layer_MANHYDR
0x3F20	3F20 Fahrpedalmodul Potentiometer 2, Signal
0x3F21	3F21 Fahrpedalmodul Potentiometer 2, Signal
0x3F23	3F23 Fahrpedalmodul Potentiometer 2, Signal
0x3F25	3F25 Ladeluftschlauch-Ueberwachung
0x3F2A	3F2A Layer_MANLUFT
0x3F2B	3F2B Layer_MANLUFT
0x3F2C	3F2C Layer_MANLUFT
0x3F2D	3F2D Layer_MANLUFT
0x3F30	3F30 Raildrucksensor, Signal
0x3F31	3F31 Raildrucksensor, Signal
0x3F35	3F35 Ladeluftschlauch-Ueberwachung im Leerlauf
0x3F40	3F40 Raildrucksensor Offset-Test
0x3F41	3F41 Raildrucksensor Offset-Test
0x3F50	3F50 Fahrgeschwindigkeitssignal
0x3F51	3F51 Fahrgeschwindigkeitssignal
0x3F52	3F52 Fahrgeschwindigkeitssignal
0x3F53	3F53 Fahrgeschwindigkeitssignal
0x3F57	3F57 Ladedrucksteller
0x3F62	3F62 Fahrgeschwindigkeitssignal ueber CAN
0x3F70	3F70 Ansauglufttemperatursensor, Signal
0x3F71	3F71 Ansauglufttemperatursensor, Signal
0x3F72	3F72 Ansauglufttemperatursensor, Signal
0x3F77	3F77 Ladedrucksteller, Ansteuerung
0x3F80	3F80 Umgebungstemperatursensor, Signal
0x3F81	3F81 Umgebungstemperatursensor, Signal
0x3F82	3F82 Umgebungstemperatursensor, Signal
0x3F90	3F90 Oeldrucksensor, Signal
0x3F91	3F91 Oeldrucksensor, Signal
0x3F97	3F97 Ladedrucksteller, Versorgungsspannung
0x3FA0	3FA0 Oeltemperatursensor
0x3FA1	3FA1 Oeltemperatursensor
0x3FA2	3FA2 Oeltemperatursensor
0x3FA3	3FA3 Oeltemperatursensor
0x3FC0	3FC0 Luftmassenmesser
0x3FD0	3FD0 Luftmassenmesser
0x3FE0	3FE0 Luftmassenmesser
0x3FE1	3FE1 Luftmassenmesser
0x3FF0	3FF0 Luftmassenmesser
0x3FF1	3FF1 Luftmassenmesser
0x4000	4000 Kraftstofftemperaturfuehler, Signal
0x4001	4001 Kraftstofftemperaturfuehler, Signal
0x4010	4010 Abgasgegendrucksensor vor Partikelfilter, Signal
0x4011	4011 Abgasgegendrucksensor vor Partikelfilter, Signal
0x4020	4020 Abgastemperatursensor vor Partikelfilter, Signal
0x4021	4021 Abgastemperatursensor vor Partikelfilter, Signal
0x4030	4030 Abgastemperatursensor vor Katalysator, Signal
0x4031	4031 Abgastemperatursensor vor Katalysator, Signal
0x4032	4032 Abgastemperatursensor vor Katalysator, Signal
0x4060	4060 Umgebungsdrucksensor (im Steuergeraet verbaut), Signal
0x4061	4061 Umgebungsdrucksensor (im Steuergeraet verbaut), Signal
0x4062	4062 Umgebungsdrucksensor (im Steuergeraet verbaut), Signal
0x4063	4063 Umgebungsdrucksensor (im Steuergeraet verbaut), Signal
0x4072	4072 Kupplungsschalter, Signal
0x4073	4073 Kupplungsschalter, Signal
0x4082	4082 Bremslicht-/Bremstestschalter, Signale
0x4083	4083 Bremslicht-/Bremstestschalter, Signale
0x4093	4093 Info - Sicherheitsfall
0x40A0	40A0 Generatorlastsignal
0x40A1	40A1 Generatorlastsignal
0x40B0	40B0 Fault path 1 for air condition pressure (nv)
0x40B1	40B1 Fault path 1 for air condition pressure (nv)
0x40B2	40B2 Fault path 1 for air condition pressure (nv)
0x40B3	40B3 Fault path 1 for air condition pressure (nv)
0x40C0	40C0 Fault path 2 for air condition pressure (nv)
0x40C1	40C1 Fault path 2 for air condition pressure (nv)
0x40D0	40D0 Fault path for analog air condition pressure (nv)
0x40D1	40D1 Fault path for analog air condition pressure (nv)
0x40E0	40E0 Generator
0x410C	410C Drallklappensteller
0x4112	4112 Fault path of air condition power stage (nv)
0x4113	4113 Fault path of air condition power stage (nv)
0x4120	4120 DDE-Hauptrelais
0x4121	4121 DDE-Hauptrelais
0x4130	4130 Drallklappensteller, Ansteuerung
0x4141	4141 Drallklappensteller, Ansteuerung
0x4152	4152 Drallklappensteller, Ansteuerung
0x4153	4153 Drallklappensteller, Ansteuerung
0x4155	4155 Abgasklappensteller, Ansteuerung
0x4156	4156 Abgasklappensteller, Ansteuerung
0x4157	4157 Abgasklappensteller, Ansteuerung
0x4158	4158 Abgasklappensteller, Ansteuerung
0x4160	4160 Relais Vorfoerderpumpe, Ansteuerung
0x4161	4161 Relais Vorfoerderpumpe, Ansteuerung
0x4162	4162 Relais Vorfoerderpumpe, Ansteuerung
0x4163	4163 Relais Vorfoerderpumpe, Ansteuerung
0x4165	4165 Partikelfiltersystem
0x4166	4166 Partikelfiltersystem
0x4175	4175 Abgastemperatursensor vor Partikelfilter, Signal
0x4176	4176 Abgastemperatursensor vor Partikelfilter, Signal
0x4178	4178 Abgastemperatursensor vor Partikelfilter, Signal
0x4180	4180 Ladedrucksteller, Ansteuerung
0x4185	4185 Abgastemperatursensor vor Kat, Signal
0x4186	4186 Abgastemperatursensor vor Kat, Signal
0x4188	4188 Abgastemperatursensor vor Kat, Signal
0x4191	4191 Ladedrucksteller, Ansteuerung
0x4195	4195 Drehmomentanforderung Klimaanlage
0x419A	419A Umgebungsdrucksensor (im Steuergeraet verbaut)
0x419B	419B Umgebungsdrucksensor (im Steuergeraet verbaut)
0x41A2	41A2 Ladedrucksteller, Ansteuerung
0x41A3	41A3 Ladedrucksteller, Ansteuerung
0x41A6	41A6 Botschaft (CBS_RESET, 0x580)
0x41A7	41A7 Botschaft (CBS_RESET, 0x580)
0x41A8	41A8 Botschaft (CBS_RESET, 0x580)
0x41AA	41AA Ladedruckfuehler
0x41AB	41AB Ladedruckfuehler
0x41B0	41B0 Abgasrueckfuehrsteller, Ansteuerung
0x41B5	41B5 Fault path for Gearbox Temperature
0x41BA	41BA Abgasgegendrucksensor
0x41BB	41BB Abgasgegendrucksensor
0x41C0	41C0 Abluftklappensteller, Ansteuerung
0x41C1	41C1 Abluftklappensteller, Ansteuerung
0x41C2	41C2 Abluftklappensteller, Ansteuerung
0x41C3	41C3 Abluftklappensteller, Ansteuerung
0x41CD	41CD Plausibilitaet Drucksensoren
0x41D1	41D1 Abgasrueckfuehrsteller, Ansteuerung
0x41D5	41D5 Lambdasonde, Signal Nernstspannung
0x41D6	41D6 Lambdasonde, Signal Nernstspannung
0x41D7	41D7 Lambdasonde, Signal Nernstspannung
0x41D8	41D8 Lambdasonde, Signal Nernstspannung
0x41DA	41DA Motorlager 2, Ansteuerung
0x41DB	41DB Motorlager 2, Ansteuerung
0x41DC	41DC Motorlager 2, Ansteuerung
0x41DD	41DD Motorlager 2, Ansteuerung
0x41E2	41E2 Abgasrueckfuehrsteller, Ansteuerung
0x41E3	41E3 Abgasrueckfuehrsteller, Ansteuerung
0x41E5	41E5 Lambdasonde, Signal Pumpstrom
0x41E6	41E6 Lambdasonde, Signal Pumpstrom
0x41E7	41E7 Lambdasonde, Signal Pumpstrom
0x41E8	41E8 Lambdasonde, Signal Pumpstrom
0x41ED	41ED Zyklische Authentisierung
0x41F0	41F0 Elektroluefter, Ansteuerung
0x41F1	41F1 Elektroluefter, Ansteuerung
0x41F2	41F2 Elektroluefter, Ansteuerung
0x41F3	41F3 Elektroluefter, Ansteuerung
0x41F5	41F5 Lambdasonde, Signal virtuelle Masse
0x41F6	41F6 Lambdasonde, Signal virtuelle Masse
0x41F7	41F7 Lambdasonde, Signal virtuelle Masse
0x41F8	41F8 Lambdasonde, Signal virtuelle Masse
0x41FD	41FD Zyklische Authentisierung
0x4203	4203 Gluehsteuergeraet
0x4205	4205 Lambdasonde, Ansteuerung Heizung
0x4206	4206 Lambdasonde, Ansteuerung Heizung
0x4207	4207 Lambdasonde, Ansteuerung Heizung
0x4208	4208 Lambdasonde, Ansteuerung Heizung
0x420B	420B Abgasrueckfuehr-Regelung im Regenerationsbetrieb
0x4211	4211 Gluehkerze Zylinder 1, Ansteuerung
0x4212	4212 Gluehkerze Zylinder 1, Ansteuerung
0x4213	4213 Gluehkerze Zylinder 1, Ansteuerung
0x4217	4217 Lambdasonde
0x421B	421B Abgasrueckfuehr-Regelung 2 im Regenerationsbetrieb
0x4221	4221 Gluehkerze Zylinder 2, Ansteuerung
0x4222	4222 Gluehkerze Zylinder 2, Ansteuerung
0x4223	4223 Gluehkerze Zylinder 2, Ansteuerung
0x4225	4225 Lambdasonde
0x4226	4226 Lambdasonde
0x422A	422A Abgasrueckfuehr-Regelung im Regenerationsbetrieb
0x4231	4231 Gluehkerze Zylinder 3, Ansteuerung
0x4232	4232 Gluehkerze Zylinder 3, Ansteuerung
0x4233	4233 Gluehkerze Zylinder 3, Ansteuerung
0x4235	4235 Steuergeraet intern 21
0x4236	4236 Steuergeraet intern 21
0x423A	423A Abgasrueckfuehr-Regelung 2 im Regenerationsbetrieb
0x4241	4241 Gluehkerze Zylinder 4, Ansteuerung
0x4242	4242 Gluehkerze Zylinder 4, Ansteuerung
0x4243	4243 Gluehkerze Zylinder 4, Ansteuerung
0x4245	4245 Steuergeraet intern 22
0x4246	4246 Steuergeraet intern 22
0x424D	424D transtion mode RgnNrm
0x4251	4251 Gluehkerze Zylinder 5, Ansteuerung
0x4252	4252 Gluehkerze Zylinder 5, Ansteuerung
0x4253	4253 Gluehkerze Zylinder 5, Ansteuerung
0x4258	4258 Steuergeraet intern 23
0x425D	425D Fahrpedalmodul Potentiometer, Plausibilitaet
0x4261	4261 Gluehkerze Zylinder 6, Ansteuerung
0x4262	4262 Gluehkerze Zylinder 6, Ansteuerung
0x4263	4263 Gluehkerze Zylinder 6, Ansteuerung
0x4267	4267 Lambdasonde, Nebenschlusserkennung
0x4271	4271 Gluehkerze Zylinder 7, Ansteuerung
0x4272	4272 Gluehkerze Zylinder 7, Ansteuerung
0x4273	4273 Gluehkerze Zylinder 7, Ansteuerung
0x4275	4275 Lambdasonde, Heizung
0x4276	4276 Lambdasonde, Heizung
0x4281	4281 Gluehkerze Zylinder 8, Ansteuerung
0x4282	4282 Gluehkerze Zylinder 8, Ansteuerung
0x4283	4283 Gluehkerze Zylinder 8, Ansteuerung
0x4287	4287 Lambdasonde
0x4288	4288 Lambdasonde
0x428B	428B Ladedruckregelung Niederdruckstufe, Regelabweichung
0x4293	4293 Steuergeraet intern 16
