0x6291	EKP-Motor: Spannung zu hoch
0x6292	EKP-Motor: Spannung zu niedrig
0x6293	EKP-Motor: Strom zu hoch
0x6294	EKP-Motor: Strom zu niedrig
0x6295	EKP-Motor: Strom fehlt
0x6296	EKP-Motor: Drehzahl fehlt
0x6297	EKP-Motor: Drehzahl zu hoch
0x6298	EKP-Motor: Drehzahl zu niedrig
0x6299	Endstufe (high-side): Übertemperatur Stufe 2
0x629A	Endstufe (high-side): Übertemperatur Stufe 1
0x629B	Kodierdaten: Notlauf-Datensatz
0x629C	EEPROM: CRC-Fehler
0x629D	Kodierdaten: Nicht kodiert
0x629E	Externer Fehler: CRASH/+Batterie-Abschaltung
0x629F	ASIC: Abschaltung
0x62A0	Kodierdaten: EKPM oder DDE/DME falsch
0xCED4	Externer Fehler: CAN-ID 0xAA (TORQUE_3) fehlt(e)
0xCEC7	Externer Fehler: CAN-Bus-Off
