0xC904	CAN-Low, Physikalischer Fehler
0xC905	CAN-High, Kurzschluss VB
0xC906	Ground Shift, zu hoch
0xC907	Controller K-CAN, Bus Off
0xC908	Controller PT-CAN, Bus Off
0x93A8	Coprozessor Kommunikationsfehler
0x93A9	Klemme 30A Anschluss fehlerhaft
0x93AA	Klemme 30B Anschluss fehlerhaft
0x93AB	Relaiskleber MPM-Relais ein
0x93AC	Relaiskleber MPM-Relais aus
0x93AD	MPM kein SVIN
0x93AE	Hallsensor FH-Fahrertuer defekt
0x93AF	Hallsensor FH-Beifahrertuer defekt
0x93B0	Relais FH-Fahrertuer defekt
0x93B1	Relais FH-Beifahrertuer defekt
0x93B2	Spiegelheizung und/oder EC-Glas Fahrerseite defekt
0x93B3	Antrieb Spiegel Fahrerseite defekt
0x93B4	Antrieb Beiklappen Spiegel Fahrerseite defekt
0x93B5	Spiegelheizung und/oder EC-Glas Beifahrerseite defekt
0x93B6	Antrieb Spiegel Beifahrerseite defekt
0x93B7	Antrieb Beiklappen Spiegel Beifahrerseite defekt
0x93B8	Servotronik: Timeout Klemmentelegramm
0x93B9	Servotronik: Klemme 15 ungueltig
0x93BA	Servotronik: Motortimeout
0x93BB	Servotronik: Motorstatus ungueltig
0x93BC	Servotronik: DSC Telegrammtimeout
0x93BD	Servotronik: Geschwindigkeit ungueltig
0x93BE	Servotronik: Klemme 30A fehlt
0x93BF	Servotronik: FDC Timeout
0x93C0	Servotronik: FDC-Modus ungueltig
0x93C1	Servotronik: Hardware defekt
0x93C2	Schaltnuss: Kontakt defekt
0x93C3	Zentralverriegelung: Kurzschluss Leitung ZV_MER
0x93C4	Zentralverriegelung: Kurzschluss Leitung ZV_MVFRT
0x93C5	Zentralverriegelung: Kurzschluss Leitung ZV_MVR
0x93C6	Zentralverriegelung: Kurzschluss Leitung ZV_MZS
0x93C7	Klemme 30 Anschluss fehlerhaft
0x93C8	LCPA Fehler Motorsensor
0x93C9	keine LIN-Kommunikation zum Spiegel Fahrerseite
0x93CA	keine LIN-Kommunikation zum Spiegel Beifahrerseite
0x93CB	keine LIN-Kommunikation zum Schalterblock
0x93CC	keine LIN-Kommunikation zum LCPA
0x93CD	keine LIN-Kommunikation zur Sitzheizung Fahrerseite
0x93CE	keine LIN-Kommunikation zur Sitzheizung Beifahrerseite
0x93CF	Sitzheizung Fahrerseite defekt
0x93D0	Sitzheizung Beifahrerseite defekt
0x93E7	Energiesparmode aktiv
