0x9CA8	interner Fehler LM-II
0x9CA9	Klemme 30A Anschluss fehlerhaft
0x9CAA	Klemme 30B Anschluss fehlerhaft
0x9CAB	eine Klemme 15 fehlt
0x9CAC	Bremslichtschalter defekt
0x9CAD	LWR-Poti defekt
0x9CAE	Bedienteilfehler
0x9CAF	Lichtschalterstellung 1 defekt
0x9CB0	Lichtschalterstellung 2 defekt
0x9CB1	Dimmer-Poti defekt
0x9CB2	Sensor Hoehenstand vorne defekt
0x9CB3	Sensor Hoehenstand hinten defekt
0x9CB4	Energiesparmode aktiv
0x9CB5	Unkonsistenz: Softwareversion und Codierindex
0x9CB6	LWR-Spulenabriss
0x9CB7	LWR-Treiberfehler
0x9CB8	Kurzschlussfehler
0x9CB9	Batterie tiefentladen
0x9CBA	Tiefentladungsschutz der Batterie: Abschaltung Standlicht
0x9CBB	Tiefentladungsschutz der Batterie: Abschaltung Parklicht
0x9CBC	Kommunikation mit StepperMoterBox links gestoert
0x9CBD	Kommunikation mit StepperMoterBox rechts gestoert
0x9CBE	Achtung: Elektronik am linken Scheinwerfer (SMC) meldet Fehler
0x9CBF	Achtung: Elektronik am rechten Scheinwerfer (SMC) meldet Fehler
0x9CC0	Vergleich Fahrgestellnummer ALC mit SMC links unterschiedlich
0x9CC1	Vergleich Fahrgestellnummer ALC mit SMC rechts unterschiedlich
0x9CC2	Hardwareleitung zu SZL fehlt
0x9CC3	RLS: LinPhysicalBusError
0x9CC4	RLS: LinProtocolError
0x9CC5	RLS: NoResponse
0x9CC6	Alive-Signal vom ALC-System fehlt
0x9CC7	Tagfahrlichtsperre aktiv
0x9cc8	LED-Hauptlicht-Modul (LHM) links: Fehler Steuergeräteintern
0x9cc9	LED-Hauptlicht-Modul (LHM) rechts: Fehler Steuergeräteintern
0x9cca	LED-Hauptlicht-Modul (LHM) links: Defekt LED Abblendlicht
0x9ccb	LED-Hauptlicht-Modul (LHM) rechts: Defekt LED Abblendlicht
0x9ccc	LED-Hauptlicht-Modul (LHM) links: Defekt LED Fernlicht
0x9ccd	LED-Hauptlicht-Modul (LHM) rechts: Defekt LED Fernlicht
0x9cce	LED-Hauptlicht-Modul (LHM) links: Fehler Hardwarekodierung LED-Binnings
0x9ccf	LED-Hauptlicht-Modul (LHM) rechts: Fehler Hardwarekodierung LED-Binnings
0x9cd0	LED-Hauptlicht-Modul (LHM) links: Kommunikationsfehler Thermomanagement
0x9cd1	LED-Hauptlicht-Modul (LHM) rechts: Kommunikationsfehler Thermomanagement
0x9cd2	LED-Hauptlicht-Modul (LHM) links: Übertemperatur Scheinwerfer links
0x9cd3	LED-Hauptlicht-Modul (LHM) rechts: Übertemperatur Scheinwerfer rechts
0x9cd4	LED-Hauptlicht-Modul (LHM) links: Defekt Lüfter 1
